"Exception occurred while sending mail.$$$Couldn't connect to host, port: localhost, 25; timeout -1",MailStats,LoggingFunctions,06-02-2015 23:55:12
"Error occurred while reading Submission Id: 1
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:05
"Error occurred while reading Submission Id: 2
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:05
"Error occurred while reading Submission Id: 3
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:05
"Error occurred while reading Submission Id: 4
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:05
"Error occurred while reading Submission Id: 5
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:05
"Error occurred while reading Submission Id: 6
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:05
"Error occurred while reading Submission Id: 7
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:05
"Error occurred while reading Submission Id: 8
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:05
"Error occurred while reading Submission Id: 9
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:05
"Error occurred while reading Submission Id: 10
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:05
"Error occurred while reading Submission Id: 1
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 2
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 3
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 4
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 14
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 15
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 16
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 17
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 18
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 19
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 20
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 5
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 6
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 7
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 8
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 9
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 10
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 11
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 12
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 13
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:03:35
"Error occurred while reading Submission Id: 1
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:05
"Error occurred while reading Submission Id: 2
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:05
"Error occurred while reading Submission Id: 3
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:05
"Error occurred while reading Submission Id: 4
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:05
"Error occurred while reading Submission Id: 14
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:05
"Error occurred while reading Submission Id: 15
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:05
"Error occurred while reading Submission Id: 16
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:05
"Error occurred while reading Submission Id: 17
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:05
"Error occurred while reading Submission Id: 18
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:05
"Error occurred while reading Submission Id: 19
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:05
"Error occurred while reading Submission Id: 20
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 21
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 22
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 23
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 24
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 25
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 26
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 27
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 28
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 29
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 30
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 5
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 6
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 7
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 8
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 9
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 10
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 11
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 12
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 13
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:06
"Error occurred while reading Submission Id: 1
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 2
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 3
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 4
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 14
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 15
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 16
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 17
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 18
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 19
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 20
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 21
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 22
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 23
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 24
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 25
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 26
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 27
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 28
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 29
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 30
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 31
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 32
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 33
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 34
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 35
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 36
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 37
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 38
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 39
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 40
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 5
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 6
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 7
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 8
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 9
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 10
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 11
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 12
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while reading Submission Id: 13
The column name SubmissionType is not valid.",GetSubmission,SubjectiveResponseEvaluationEngine,05-04-2015 14:04:36
"Error occurred while blocking submissions for evaluation
The connection to the host localdatabase, named instance sqlexpress failed. Error: "java.net.UnknownHostException: localdatabase". Verify the server and instance names and check that no firewall is blocking UDP traffic to port 1434.  For SQL Server 2005 or later, verify that the SQL Server Browser Service is running on the host.",GetSubmissions,SubjectiveResponseEvaluationEngine,09-04-2015 18:47:56
"Error while processing the Submission Id: 51
6",SetGrammarMistakeCount,EnglishLanguageResponseClass,10-04-2015 19:19:00
"Error while processing the Submission Id: 70
6",SetGrammarMistakeCount,EnglishLanguageResponseClass,10-04-2015 19:19:20
"Error while processing the Submission Id: 63
7",SetGrammarMistakeCount,EnglishLanguageResponseClass,10-04-2015 19:19:24
"Error while processing the Submission Id: 89
6",SetGrammarMistakeCount,EnglishLanguageResponseClass,10-04-2015 19:19:42
"Error while processing the Submission Id: 51
6",SetGrammarMistakeCount,EnglishLanguageResponseClass,10-04-2015 19:39:22
"Error while processing the Submission Id: 70
6",SetGrammarMistakeCount,EnglishLanguageResponseClass,10-04-2015 19:39:38
"Error while processing the Submission Id: 63
7",SetGrammarMistakeCount,EnglishLanguageResponseClass,10-04-2015 19:39:42
"Error while processing the Submission Id: 89
6",SetGrammarMistakeCount,EnglishLanguageResponseClass,10-04-2015 19:40:00
"Error while processing the Submission Id: 51
6",SetGrammarMistakeCount,EnglishLanguageResponseClass,10-04-2015 19:45:00
"Error while processing the Submission Id: 70
6",SetGrammarMistakeCount,EnglishLanguageResponseClass,10-04-2015 19:45:15
"Error while processing the Submission Id: 63
7",SetGrammarMistakeCount,EnglishLanguageResponseClass,10-04-2015 19:45:19
"Error while processing the Submission Id: 89
6",SetGrammarMistakeCount,EnglishLanguageResponseClass,10-04-2015 19:45:37
"Error while processing the Submission Id: 51
6",SetGrammarMistakeCount,EnglishLanguageResponseClass,10-04-2015 19:53:05
"Error while processing the Submission Id: 70
6",SetGrammarMistakeCount,EnglishLanguageResponseClass,10-04-2015 19:53:20
"Error while processing the Submission Id: 63
7",SetGrammarMistakeCount,EnglishLanguageResponseClass,10-04-2015 19:53:24
"Error while processing the Submission Id: 89
6",SetGrammarMistakeCount,EnglishLanguageResponseClass,10-04-2015 19:53:42
